INDEX,DATE,TIME,SECONDS_SINCE_MIDNIGHT,TRIP_ID,DIR,SPEED,LAT,LONG,ALT,EXITS,ENTRANCES
2789,10/25/2010,11:11:53,40313,5,S,45.65712,41.375727,-73.962873,15.839928,0,1
2790,10/25/2010,11:11:57,40317,5,S,44.949432,41.375171,-73.96309,15.230514,0,0
2791,10/25/2010,11:12:03,40323,5,S,47.728558,41.374598,-73.963313,17.22801,0,0
2792,10/25/2010,11:12:08,40328,5,S,47.305584,41.374028,-73.963514,17.424936,0,0
2793,10/25/2010,11:12:13,40333,5,S,49.046238,41.373454,-73.963709,17.40584,0,0
2794,10/25/2010,11:12:18,40338,5,S,49.152115,41.372851,-73.963848,16.465359,0,0
2795,10/25/2010,11:12:23,40343,5,S,45.96059,41.37228,-73.96396,17.00901,0,0
2796,10/25/2010,11:12:28,40348,5,S,38.072227,41.371749,-73.964007,15.272368,0,0
2797,10/25/2010,11:12:33,40353,5,S,21.905714,41.371389,-73.964021,15.271983,0,0
2798,10/25/2010,11:12:38,40358,5,S,20.798409,41.371221,-73.963765,16.169638,0,0
2799,10/25/2010,11:12:43,40363,5,S,24.167812,41.370954,-73.963687,16.149179,0,0
2800,10/25/2010,11:12:48,40368,5,S,27.895912,41.370847,-73.963264,14.8267,0,0
2801,10/25/2010,11:12:53,40373,5,S,26.207047,41.370763,-73.962811,14.005185,0,0
2802,10/25/2010,11:12:58,40378,5,S,25.688065,41.370962,-73.962565,17.90019,0,0
2803,10/25/2010,11:13:03,40383,5,S,32.301197,41.371121,-73.963006,17.320007,0,0
2804,10/25/2010,11:13:08,40388,5,S,18.929413,41.371231,-73.963463,16.6542,1,0
2805,10/25/2010,11:15:08,40508,5,S,0.804905,41.371272,-73.963566,15.32873,0,0
2806,10/25/2010,11:15:13,40513,6,N,11.219617,41.371307,-73.96367,15.89827,0,0
2807,10/25/2010,11:15:18,40518,6,N,9.087787,41.371392,-73.963879,14.289174,0,0
2808,10/25/2010,11:15:23,40523,6,N,12.487771,41.371442,-73.96397,14.165129,0,0
2809,10/25/2010,11:15:27,40527,6,N,28.800102,41.371714,-73.963958,14.525826,0,0
